Date,City,Fuel_Type,RSP
2025-06-20,Delhi,Petrol,94.77
2025-06-20,Mumbai,Petrol,103.5
2025-06-20,Chennai,Petrol,100.8
2025-06-20,Kolkata,Petrol,105.41
2025-06-20,Delhi,Diesel,87.67
2025-06-20,Mumbai,Diesel,90.03
2025-06-20,Chennai,Diesel,92.39
2025-06-20,Kolkata,Diesel,92.02
2025-06-19,Delhi,Petrol,94.77
2025-06-19,Mumbai,Petrol,103.5
2025-06-19,Chennai,Petrol,100.8
2025-06-19,Kolkata,Petrol,105.41
2025-06-19,Delhi,Diesel,87.67
2025-06-19,Mumbai,Diesel,90.03
2025-06-19,Chennai,Diesel,92.39
2025-06-19,Kolkata,Diesel,92.02
2025-06-18,Delhi,Petrol,94.77
2025-06-18,Mumbai,Petrol,103.5
2025-06-18,Chennai,Petrol,100.8
2025-06-18,Kolkata,Petrol,105.41
2025-06-18,Delhi,Diesel,87.67
2025-06-18,Mumbai,Diesel,90.03
2025-06-18,Chennai,Diesel,92.39
2025-06-18,Kolkata,Diesel,92.02
2025-06-17,Delhi,Petrol,94.77
2025-06-17,Mumbai,Petrol,103.5
2025-06-17,Chennai,Petrol,100.8
2025-06-17,Kolkata,Petrol,105.41
2025-06-17,Delhi,Diesel,87.67
2025-06-17,Mumbai,Diesel,90.03
2025-06-17,Chennai,Diesel,92.39
2025-06-17,Kolkata,Diesel,92.02
2025-06-16,Delhi,Petrol,94.77
2025-06-16,Mumbai,Petrol,103.5
2025-06-16,Chennai,Petrol,100.8
2025-06-16,Kolkata,Petrol,105.41
2025-06-16,Delhi,Diesel,87.67
2025-06-16,Mumbai,Diesel,90.03
2025-06-16,Chennai,Diesel,92.39
2025-06-16,Kolkata,Diesel,92.02
2025-06-15,Delhi,Petrol,94.77
2025-06-15,Mumbai,Petrol,103.5
2025-06-15,Chennai,Petrol,100.8
2025-06-15,Kolkata,Petrol,105.41
2025-06-15,Delhi,Diesel,87.67
2025-06-15,Mumbai,Diesel,90.03
2025-06-15,Chennai,Diesel,92.39
2025-06-15,Kolkata,Diesel,92.02
2025-06-14,Delhi,Petrol,94.77
2025-06-14,Mumbai,Petrol,103.5
2025-06-14,Chennai,Petrol,100.8
2025-06-14,Kolkata,Petrol,105.41
2025-06-14,Delhi,Diesel,87.67
2025-06-14,Mumbai,Diesel,90.03
2025-06-14,Chennai,Diesel,92.39
2025-06-14,Kolkata,Diesel,92.02
2025-06-13,Delhi,Petrol,94.77
2025-06-13,Mumbai,Petrol,103.5
2025-06-13,Chennai,Petrol,100.8
2025-06-13,Kolkata,Petrol,105.41
2025-06-13,Delhi,Diesel,87.67
2025-06-13,Mumbai,Diesel,90.03
2025-06-13,Chennai,Diesel,92.39
2025-06-13,Kolkata,Diesel,92.02
2025-06-12,Delhi,Petrol,94.77
2025-06-12,Mumbai,Petrol,103.5
2025-06-12,Chennai,Petrol,100.8
2025-06-12,Kolkata,Petrol,105.41
2025-06-12,Delhi,Diesel,87.67
2025-06-12,Mumbai,Diesel,90.03
2025-06-12,Chennai,Diesel,92.39
2025-06-12,Kolkata,Diesel,92.02
2025-06-11,Delhi,Petrol,94.77
2025-06-11,Mumbai,Petrol,103.5
2025-06-11,Chennai,Petrol,100.8
2025-06-11,Kolkata,Petrol,105.41
2025-06-11,Delhi,Diesel,87.67
2025-06-11,Mumbai,Diesel,90.03
2025-06-11,Chennai,Diesel,92.39
2025-06-11,Kolkata,Diesel,92.02
2025-06-10,Delhi,Petrol,94.77
2025-06-10,Mumbai,Petrol,103.5
2025-06-10,Chennai,Petrol,100.8
2025-06-10,Kolkata,Petrol,105.41
2025-06-10,Delhi,Diesel,87.67
2025-06-10,Mumbai,Diesel,90.03
2025-06-10,Chennai,Diesel,92.39
2025-06-10,Kolkata,Diesel,92.02
2025-06-09,Delhi,Petrol,94.77
2025-06-09,Mumbai,Petrol,103.5
2025-06-09,Chennai,Petrol,100.8
2025-06-09,Kolkata,Petrol,105.41
2025-06-09,Delhi,Diesel,87.67
2025-06-09,Mumbai,Diesel,90.03
2025-06-09,Chennai,Diesel,92.39
2025-06-09,Kolkata,Diesel,92.02
2025-06-08,Delhi,Petrol,94.77
2025-06-08,Mumbai,Petrol,103.5
2025-06-08,Chennai,Petrol,100.8
2025-06-08,Kolkata,Petrol,105.41
2025-06-08,Delhi,Diesel,87.67
2025-06-08,Mumbai,Diesel,90.03
2025-06-08,Chennai,Diesel,92.39
2025-06-08,Kolkata,Diesel,92.02
2025-06-07,Delhi,Petrol,94.77
2025-06-07,Mumbai,Petrol,103.5
2025-06-07,Chennai,Petrol,100.8
2025-06-07,Kolkata,Petrol,105.41
2025-06-07,Delhi,Diesel,87.67
2025-06-07,Mumbai,Diesel,90.03
2025-06-07,Chennai,Diesel,92.39
2025-06-07,Kolkata,Diesel,92.02
2025-06-06,Delhi,Petrol,94.77
2025-06-06,Mumbai,Petrol,103.5
2025-06-06,Chennai,Petrol,100.8
2025-06-06,Kolkata,Petrol,105.41
2025-06-06,Delhi,Diesel,87.67
2025-06-06,Mumbai,Diesel,90.03
2025-06-06,Chennai,Diesel,92.39
2025-06-06,Kolkata,Diesel,92.02
2025-06-05,Delhi,Petrol,94.77
2025-06-05,Mumbai,Petrol,103.5
2025-06-05,Chennai,Petrol,100.8
2025-06-05,Kolkata,Petrol,105.41
2025-06-05,Delhi,Diesel,87.67
2025-06-05,Mumbai,Diesel,90.03
2025-06-05,Chennai,Diesel,92.39
2025-06-05,Kolkata,Diesel,92.02
2025-06-04,Delhi,Petrol,94.77
2025-06-04,Mumbai,Petrol,103.5
2025-06-04,Chennai,Petrol,100.8
2025-06-04,Kolkata,Petrol,105.41
2025-06-04,Delhi,Diesel,87.67
2025-06-04,Mumbai,Diesel,90.03
2025-06-04,Chennai,Diesel,92.39
2025-06-04,Kolkata,Diesel,92.02
2025-06-03,Delhi,Petrol,94.77
2025-06-03,Mumbai,Petrol,103.5
2025-06-03,Chennai,Petrol,100.8
2025-06-03,Kolkata,Petrol,105.41
2025-06-03,Delhi,Diesel,87.67
2025-06-03,Mumbai,Diesel,90.03
2025-06-03,Chennai,Diesel,92.39
2025-06-03,Kolkata,Diesel,92.02
2025-06-02,Delhi,Petrol,94.77
2025-06-02,Mumbai,Petrol,103.5
2025-06-02,Chennai,Petrol,100.8
2025-06-02,Kolkata,Petrol,105.41
2025-06-02,Delhi,Diesel,87.67
2025-06-02,Mumbai,Diesel,90.03
2025-06-02,Chennai,Diesel,92.39
2025-06-02,Kolkata,Diesel,92.02
2025-06-01,Delhi,Petrol,94.77
2025-06-01,Mumbai,Petrol,103.5
2025-06-01,Chennai,Petrol,100.8
2025-06-01,Kolkata,Petrol,105.41
2025-06-01,Delhi,Diesel,87.67
2025-06-01,Mumbai,Diesel,90.03
2025-06-01,Chennai,Diesel,92.39
2025-06-01,Kolkata,Diesel,92.02
2025-05-31,Delhi,Petrol,94.77
2025-05-31,Mumbai,Petrol,103.5
2025-05-31,Chennai,Petrol,100.8
2025-05-31,Kolkata,Petrol,105.41
2025-05-31,Delhi,Diesel,87.67
2025-05-31,Mumbai,Diesel,90.03
2025-05-31,Chennai,Diesel,92.39
2025-05-31,Kolkata,Diesel,92.02
2025-05-30,Delhi,Petrol,94.77
2025-05-30,Mumbai,Petrol,103.5
2025-05-30,Chennai,Petrol,100.8
2025-05-30,Kolkata,Petrol,105.41
2025-05-30,Delhi,Diesel,87.67
2025-05-30,Mumbai,Diesel,90.03
2025-05-30,Chennai,Diesel,92.39
2025-05-30,Kolkata,Diesel,92.02
2025-05-29,Delhi,Petrol,94.77
2025-05-29,Mumbai,Petrol,103.5
2025-05-29,Chennai,Petrol,100.8
2025-05-29,Kolkata,Petrol,105.41
2025-05-29,Delhi,Diesel,87.67
